 Time    Brake fluid     Disk brake         Driver       Power to
(secs)       pressure       pressure       pressure           unit
 97.7             29             10             37             53
 97.8             27             10             36             74
 97.9             20             11             30             45
 98.0             26             10             31             75
 98.1             27             14             33             99
 98.2             29             12             31             55
 98.3             27             12             31             85
 98.4             22             14             36             37
 98.5             28             10             34             46
 98.6             28             13             37             90
 98.7             27             10             34             58
 98.8             24             14             32             35
 98.9             20             11             38             68
 99.0             23             10             39             21
 99.1             25             14             31             10
 99.2             24             14             36             22
 99.3             23             12             36             11
 99.4             23             14             38             10
 99.5             29             11             33             68
 99.6             26             12             38             63
 99.7             28             10             34             72
 99.8             24             11             37             73
 99.9             24             13             32             77
100.0             26             12             33             45
100.1             22             13             39             18
100.2             28             12             30             90
100.3             22             11             30             47
100.4             21             13             30             83
100.5             26             13             35             75
100.6             24             10             31             92
100.7             27             11             39             79
100.8             27             11             36             35
100.9             20             13             35             32
101.0             21             11             31             47
101.1             25             12             39             62
101.2             25             13             32             36
101.3             26             14             37             46
101.4             22             14             39             55
101.5             26             10             37             60
101.6             21             14             33             90
101.7             21             13             31             16
101.8             24             13             31             14
101.9             22             14             39             52
102.0             24             10             30             25
102.1             28             11             34             22
102.2             20             13             38             14
102.3             23             11             37             69
102.4             20             11             32             43
102.5             23             10             39             90
102.6             20             10             32             44
102.7             21             12             33             67
102.8             24             14             31             32
102.9             20             14             32             46
103.0             22             12             34             14
103.1             20             12             37             43
103.2             20             12             36             65
103.3             26             14             38             15
103.4             29             10             38             82
103.5             26             13             36             24
103.6             25             13             36             56
103.7             22             12             36             32
103.8             27             10             30             74
103.9             29             11             32             80
104.0             21             14             31             38
104.1             21             10             35             65
104.2             20             10             30             58
104.3             24             10             31             30
104.4             27             14             30             70
104.5             25             11             35             82
104.6             23             13             33             42
104.7             21             11             36             95
104.8             29             10             36             37
104.9             22             14             35             77
105.0             28             14             38             82
105.1             29             10             31             83
105.2             24             11             36             40
105.3             25             12             38             22
105.4             28             14             34             95
105.5             26             12             37             95
105.6             24             10             37             16
105.7             20             13             31             30
105.8             21             14             33             61
105.9             22             10             37             80
106.0             27             14             32             97
106.1             23             12             31             98
106.2             28             14             36             56
106.3             22             13             36             44
106.4             23             11             32             94
106.5             22             11             38             88
106.6             29             13             30             72
106.7             21             14             31             92
106.8             24             10             30             99
106.9             27             11             37             16
107.0             21             12             30             85
107.1             22             14             38             24
107.2             24             13             31             36
107.3             26             11             37             36
107.4             27             13             35             87
107.5             27             12             32             89
107.6             21             10             39             57
